dplyr,CRAN,
TwoSampleMR,github,MRCIEU
data.table,CRAN,
ggplot2,CRAN,
tidyverse,CRAN,
devtools,CRAN,
meffil,github,perishky
biomaRt,bioconductor,
argparse,CRAN,
MRInstruments,github,MRCIEU
simulateGP,github,explodecomputer
plyr,CRAN,
pROC,CRAN,
car,CRAN,
randomForest,CRAN,
progress,CRAN,
magrittr,CRAN,
gwasvcftools,github,MRCIEU
RNeo4j,github,nicolewhite
vcfR,CRAN,
utils,CRAN,
tidyr,CRAN,
shiny,CRAN,
readr,CRAN,
parallel,CRAN,
mvtnorm,CRAN,
methods,CRAN,
RadialMR,github,WSpiller
unixtools,rforge,
tryx,github,explodecomputer
stringr,CRAN,
shinydashboard,CRAN,
reshape2,CRAN,
pcalg,CRAN,
multidplyr,github,tidyverse
metafor,CRAN,
meta,CRAN,
knitr,CRAN,
gtable,CRAN,
gdata,CRAN,
SDMTools,CRAN,
Rfast,CRAN,
MendelianRandomization,CRAN,
GGally,CRAN,
